model,model_label,experiment,condition_id,example_id,mode,prompt_variant,family,segment,layer,k,normalize_hidden_states,token_count,valid_token_count,valid,mean_lid,invalid_reason,segment_parse_status,correct,answer_parse_status,gold_answer,model_answer,model_sort_key,condition,segment_label
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_03,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,64,64,True,6.736745357513428,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_03,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,full_output,20,10,False,64,64,True,2.37113881111145,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_04,short_cycle_repetition_04,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,53,53,True,7.970249176025391,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_04,short_cycle_repetition_04,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,53,53,True,5.648697376251221,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_04,short_cycle_repetition_04,no_think,degenerate,short_cycle_repetition,full_output,20,10,False,53,53,True,3.432199716567993,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_05,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,full_output,6,10,False,45,45,True,6.102168560028076,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_05,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,full_output,13,10,False,45,45,True,7.525185585021973,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__short_cycle_repetition_05,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,full_output,20,10,False,45,45,True,3.174776554107666,,ok,,,,,1.7,short_cycle_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_01,templatic_repetition_01,no_think,degenerate,templatic_repetition,full_output,6,10,False,115,115,True,3.0997447967529297,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_01,templatic_repetition_01,no_think,degenerate,templatic_repetition,full_output,13,10,False,115,115,True,4.2737650871276855,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_01,templatic_repetition_01,no_think,degenerate,templatic_repetition,full_output,20,10,False,115,115,True,2.947420835494995,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_02,templatic_repetition_02,no_think,degenerate,templatic_repetition,full_output,6,10,False,115,115,True,2.8674824237823486,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_02,templatic_repetition_02,no_think,degenerate,templatic_repetition,full_output,13,10,False,115,115,True,3.7714664936065674,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_02,templatic_repetition_02,no_think,degenerate,templatic_repetition,full_output,20,10,False,115,115,True,2.7825210094451904,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_03,templatic_repetition_03,no_think,degenerate,templatic_repetition,full_output,6,10,False,115,115,True,3.085350751876831,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_03,templatic_repetition_03,no_think,degenerate,templatic_repetition,full_output,13,10,False,115,115,True,3.8159916400909424,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_03,templatic_repetition_03,no_think,degenerate,templatic_repetition,full_output,20,10,False,115,115,True,2.8182437419891357,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_04,templatic_repetition_04,no_think,degenerate,templatic_repetition,full_output,6,10,False,115,115,True,5.156512260437012,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_04,templatic_repetition_04,no_think,degenerate,templatic_repetition,full_output,13,10,False,115,115,True,4.573790073394775,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_04,templatic_repetition_04,no_think,degenerate,templatic_repetition,full_output,20,10,False,115,115,True,2.7283194065093994,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_05,templatic_repetition_05,no_think,degenerate,templatic_repetition,full_output,6,10,False,127,127,True,2.8987298011779785,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_05,templatic_repetition_05,no_think,degenerate,templatic_repetition,full_output,13,10,False,127,127,True,3.807267427444458,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__templatic_repetition_05,templatic_repetition_05,no_think,degenerate,templatic_repetition,full_output,20,10,False,127,127,True,3.186185598373413,,ok,,,,,1.7,templatic_repetition,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000135,gsm8k_test_000135,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,53,53,True,15.123558044433594,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000135,gsm8k_test_000135,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,53,53,True,11.637081146240234,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000135,gsm8k_test_000135,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,53,53,True,13.199562072753906,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000153,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,114,114,True,11.149580955505373,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000153,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,114,114,True,10.655598640441896,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000153,gsm8k_test_000153,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,114,114,True,10.66123104095459,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000180,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,40,40,True,14.415637016296388,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000180,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,40,40,True,10.50632667541504,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000180,gsm8k_test_000180,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,40,40,True,11.285731315612791,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000221,gsm8k_test_000221,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,71,71,True,14.526728630065918,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000221,gsm8k_test_000221,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,71,71,True,11.531749725341797,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000221,gsm8k_test_000221,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,71,71,True,12.326252937316896,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000315,gsm8k_test_000315,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,45,45,True,15.855634689331056,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000315,gsm8k_test_000315,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,45,45,True,11.76042366027832,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000315,gsm8k_test_000315,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,45,45,True,11.860197067260742,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000334,gsm8k_test_000334,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,49,49,True,11.603548049926758,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000334,gsm8k_test_000334,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,49,49,True,9.814739227294922,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000334,gsm8k_test_000334,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,49,49,True,12.210761070251465,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000339,gsm8k_test_000339,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,37,37,True,13.539011001586914,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000339,gsm8k_test_000339,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,37,37,True,10.96987247467041,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000339,gsm8k_test_000339,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,37,37,True,12.18326473236084,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000345,gsm8k_test_000345,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,67,67,True,12.873895645141602,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000345,gsm8k_test_000345,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,67,67,True,11.192572593688965,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000345,gsm8k_test_000345,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,67,67,True,11.816993713378906,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000414,gsm8k_test_000414,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,45,45,True,14.43045425415039,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000414,gsm8k_test_000414,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,45,45,True,11.6825590133667,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000414,gsm8k_test_000414,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,45,45,True,12.609256744384766,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000415,gsm8k_test_000415,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,38,38,True,15.161025047302246,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000415,gsm8k_test_000415,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,38,38,True,10.693766593933104,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000415,gsm8k_test_000415,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,38,38,True,13.46144199371338,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000491,gsm8k_test_000491,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,67,67,True,12.729190826416016,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000491,gsm8k_test_000491,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,67,67,True,11.699178695678713,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000491,gsm8k_test_000491,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,67,67,True,11.70731258392334,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000578,gsm8k_test_000578,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,62,62,True,14.060009002685549,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000578,gsm8k_test_000578,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,62,62,True,11.536993026733398,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000578,gsm8k_test_000578,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,62,62,True,11.561012268066406,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000683,gsm8k_test_000683,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,64,64,True,12.845792770385742,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000683,gsm8k_test_000683,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,64,64,True,10.333499908447266,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000683,gsm8k_test_000683,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,64,64,True,10.957094192504885,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000696,gsm8k_test_000696,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,67,67,True,12.302959442138672,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000696,gsm8k_test_000696,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,67,67,True,10.308879852294922,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000696,gsm8k_test_000696,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,67,67,True,11.502057075500488,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000727,gsm8k_test_000727,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,70,70,True,15.488609313964844,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000727,gsm8k_test_000727,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,70,70,True,10.234091758728027,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000727,gsm8k_test_000727,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,70,70,True,9.164474487304688,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000800,gsm8k_test_000800,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,51,51,True,14.126036643981934,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000800,gsm8k_test_000800,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,51,51,True,11.83877658843994,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000800,gsm8k_test_000800,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,51,51,True,12.611425399780272,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000850,gsm8k_test_000850,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,41,41,True,16.45345687866211,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000850,gsm8k_test_000850,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,41,41,True,11.059789657592772,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000850,gsm8k_test_000850,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,41,41,True,11.787353515625,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000890,gsm8k_test_000890,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,70,70,True,12.722830772399902,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000890,gsm8k_test_000890,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,70,70,True,10.100708961486816,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_000890,gsm8k_test_000890,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,70,70,True,9.53509521484375,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_001025,gsm8k_test_001025,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,46,46,True,20.587373733520508,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_001025,gsm8k_test_001025,no_think,canonical,regular_gsm8k_nothink,full_output,13,10,False,46,46,True,13.29121208190918,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_001025,gsm8k_test_001025,no_think,canonical,regular_gsm8k_nothink,full_output,20,10,False,46,46,True,12.302206039428713,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
Qwen_Qwen3-1.7B,1.7B,exp_a,exp_a__regular_gsm8k_nothink_gsm8k_test_001036,gsm8k_test_001036,no_think,canonical,regular_gsm8k_nothink,full_output,6,10,False,45,45,True,13.590567588806152,,ok,,,,,1.7,regular_gsm8k_nothink,no_think_full
