model,model_label,model_sort_key,layer,segment_label,token_category,mean_lid,median_lid,n
Qwen_Qwen3-1.7B,1.7B,1.7,6,thinking,special_delimiter,0.011504627,0.011480662,108
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,content_word,0.0060909144,0.0055414075,607
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,digits_math_symbols,0.005037638,0.0045748446,1041
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,newline_formatting,0.004084354,0.0037875369,426
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,punctuation,0.0048194584,0.0039984775,367
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,reasoning_discourse_marker,0.005735087,0.0057021286,168
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,short_function_word,0.0055398247,0.0050162426,427
Qwen_Qwen3-1.7B,1.7B,1.7,13,no_think_answer,special_delimiter,0.013077928,0.012932302,54
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer,content_word,0.0061524054,0.0057182913,565
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer,digits_math_symbols,0.0047657406,0.0042702733,1054
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer,newline_formatting,0.004129174,0.003857112,472
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer,punctuation,0.004565024,0.0038617542,253
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer,reasoning_discourse_marker,0.006333644,0.0060991836,199
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer,short_function_word,0.005918626,0.0054407334,432
Qwen_Qwen3-1.7B,1.7B,1.7,13,think_answer,special_delimiter,0.018816885,0.017974526,54
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking,content_word,0.0062657637,0.004410479,3561
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking,digits_math_symbols,0.004478482,0.0037983865,4313
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking,newline_formatting,0.0045994595,0.0040128953,1267
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking,punctuation,0.0063726404,0.005061078,209
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking,reasoning_discourse_marker,0.0068657245,0.005818574,344
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking,short_function_word,0.006050941,0.004614807,3568
Qwen_Qwen3-1.7B,1.7B,1.7,13,thinking,special_delimiter,0.018282995,0.018102642,108
Qwen_Qwen3-1.7B,1.7B,1.7,20,no_think_answer,content_word,0.0064379666,0.0058598313,607
Qwen_Qwen3-1.7B,1.7B,1.7,20,no_think_answer,digits_math_symbols,0.005331815,0.004926104,1041
Qwen_Qwen3-1.7B,1.7B,1.7,20,no_think_answer,newline_formatting,0.004246111,0.004148273,426
Qwen_Qwen3-1.7B,1.7B,1.7,20,no_think_answer,punctuation,0.0050961585,0.0048940377,367
Qwen_Qwen3-1.7B,1.7B,1.7,20,no_think_answer,reasoning_discourse_marker,0.004700227,0.004448859,168
Qwen_Qwen3-1.7B,1.7B,1.7,20,no_think_answer,short_function_word,0.0059021413,0.005547929,427
Qwen_Qwen3-1.7B,1.7B,1.7,20,no_think_answer,special_delimiter,0.0144377425,0.013752843,54
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer,content_word,0.006730851,0.0061530946,565
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer,digits_math_symbols,0.0051692273,0.0047127563,1054
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer,newline_formatting,0.0041717617,0.0039242725,472
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer,punctuation,0.005471623,0.0052293837,253
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer,reasoning_discourse_marker,0.0051986957,0.004771506,199
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer,short_function_word,0.006216174,0.0057743806,432
Qwen_Qwen3-1.7B,1.7B,1.7,20,think_answer,special_delimiter,0.012243806,0.012041584,54
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking,content_word,0.006411109,0.0050872597,3561
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking,digits_math_symbols,0.004361858,0.0036395434,4313
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking,newline_formatting,0.0044565755,0.0038162703,1267
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking,punctuation,0.0055813785,0.00439152,209
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking,reasoning_discourse_marker,0.006792813,0.005919393,344
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking,short_function_word,0.005633723,0.0043645483,3568
Qwen_Qwen3-1.7B,1.7B,1.7,20,thinking,special_delimiter,0.013280611,0.012235396,108
Qwen_Qwen3-4B,4B,4.0,6,no_think_answer,content_word,0.007470682,0.0066899704,638
Qwen_Qwen3-4B,4B,4.0,6,no_think_answer,digits_math_symbols,0.0036300484,0.0031433515,974
Qwen_Qwen3-4B,4B,4.0,6,no_think_answer,newline_formatting,0.0020190591,0.0015447045,369
Qwen_Qwen3-4B,4B,4.0,6,no_think_answer,punctuation,0.0026778826,0.002446917,372
Qwen_Qwen3-4B,4B,4.0,6,no_think_answer,reasoning_discourse_marker,0.008960384,0.008778834,206
Qwen_Qwen3-4B,4B,4.0,6,no_think_answer,short_function_word,0.0050460007,0.0040075253,470
Qwen_Qwen3-4B,4B,4.0,6,no_think_answer,special_delimiter,0.015531937,0.014194632,58
Qwen_Qwen3-4B,4B,4.0,6,think_answer,content_word,0.008496087,0.007036227,633
Qwen_Qwen3-4B,4B,4.0,6,think_answer,digits_math_symbols,0.0033463428,0.0028818462,1035
Qwen_Qwen3-4B,4B,4.0,6,think_answer,newline_formatting,0.0024376505,0.0021882248,419
Qwen_Qwen3-4B,4B,4.0,6,think_answer,punctuation,0.0031738076,0.0027343167,373
Qwen_Qwen3-4B,4B,4.0,6,think_answer,reasoning_discourse_marker,0.009427894,0.009050572,211
Qwen_Qwen3-4B,4B,4.0,6,think_answer,short_function_word,0.005793305,0.004545414,369
Qwen_Qwen3-4B,4B,4.0,6,think_answer,special_delimiter,0.017160984,0.015108952,58
Qwen_Qwen3-4B,4B,4.0,6,thinking,content_word,0.0090829125,0.0030825757,3504
Qwen_Qwen3-4B,4B,4.0,6,thinking,digits_math_symbols,0.002634744,0.0019382706,4231
Qwen_Qwen3-4B,4B,4.0,6,thinking,newline_formatting,0.0029008652,0.0021249615,1275
Qwen_Qwen3-4B,4B,4.0,6,thinking,punctuation,0.007275745,0.004504781,189
Qwen_Qwen3-4B,4B,4.0,6,thinking,reasoning_discourse_marker,0.009854766,0.0061208764,337
Qwen_Qwen3-4B,4B,4.0,6,thinking,short_function_word,0.00679724,0.0032217158,3172
Qwen_Qwen3-4B,4B,4.0,6,thinking,special_delimiter,0.008321698,0.008039666,116
Qwen_Qwen3-4B,4B,4.0,13,no_think_answer,content_word,0.00548277,0.0050701164,638
Qwen_Qwen3-4B,4B,4.0,13,no_think_answer,digits_math_symbols,0.0040495754,0.0036899787,974
Qwen_Qwen3-4B,4B,4.0,13,no_think_answer,newline_formatting,0.0027217232,0.0027272522,369
Qwen_Qwen3-4B,4B,4.0,13,no_think_answer,punctuation,0.0035845852,0.0027877416,372
Qwen_Qwen3-4B,4B,4.0,13,no_think_answer,reasoning_discourse_marker,0.0053722505,0.0049880156,206
Qwen_Qwen3-4B,4B,4.0,13,no_think_answer,short_function_word,0.005023223,0.0046625845,470
Qwen_Qwen3-4B,4B,4.0,13,no_think_answer,special_delimiter,0.008236784,0.007906579,58
Qwen_Qwen3-4B,4B,4.0,13,think_answer,content_word,0.005990848,0.005433213,633
Qwen_Qwen3-4B,4B,4.0,13,think_answer,digits_math_symbols,0.0035970716,0.0032476806,1035
Qwen_Qwen3-4B,4B,4.0,13,think_answer,newline_formatting,0.0030007767,0.0028434643,419
Qwen_Qwen3-4B,4B,4.0,13,think_answer,punctuation,0.0040047797,0.0033720855,373
Qwen_Qwen3-4B,4B,4.0,13,think_answer,reasoning_discourse_marker,0.006503743,0.005739022,211
Qwen_Qwen3-4B,4B,4.0,13,think_answer,short_function_word,0.0058098827,0.005334894,369
Qwen_Qwen3-4B,4B,4.0,13,think_answer,special_delimiter,0.0078007486,0.007597433,58
Qwen_Qwen3-4B,4B,4.0,13,thinking,content_word,0.0052287416,0.0037179433,3504
Qwen_Qwen3-4B,4B,4.0,13,thinking,digits_math_symbols,0.0032278998,0.0027070714,4231
Qwen_Qwen3-4B,4B,4.0,13,thinking,newline_formatting,0.0036419102,0.0027274936,1275
Qwen_Qwen3-4B,4B,4.0,13,thinking,punctuation,0.0058249487,0.00484187,189
Qwen_Qwen3-4B,4B,4.0,13,thinking,reasoning_discourse_marker,0.0062030586,0.005002615,337
Qwen_Qwen3-4B,4B,4.0,13,thinking,short_function_word,0.0050164354,0.0037772756,3172
Qwen_Qwen3-4B,4B,4.0,13,thinking,special_delimiter,0.0075010164,0.0068709785,116
Qwen_Qwen3-4B,4B,4.0,20,no_think_answer,content_word,0.004559883,0.0040489384,638
Qwen_Qwen3-4B,4B,4.0,20,no_think_answer,digits_math_symbols,0.004519387,0.004193929,974
Qwen_Qwen3-4B,4B,4.0,20,no_think_answer,newline_formatting,0.0037165524,0.0035805576,369
Qwen_Qwen3-4B,4B,4.0,20,no_think_answer,punctuation,0.004098013,0.00379194,372
Qwen_Qwen3-4B,4B,4.0,20,no_think_answer,reasoning_discourse_marker,0.004411844,0.004259251,206
Qwen_Qwen3-4B,4B,4.0,20,no_think_answer,short_function_word,0.004698517,0.0041498137,470
Qwen_Qwen3-4B,4B,4.0,20,no_think_answer,special_delimiter,0.009101388,0.008732546,58
Qwen_Qwen3-4B,4B,4.0,20,think_answer,content_word,0.00459792,0.004270779,633
Qwen_Qwen3-4B,4B,4.0,20,think_answer,digits_math_symbols,0.0040543913,0.0037347977,1035
Qwen_Qwen3-4B,4B,4.0,20,think_answer,newline_formatting,0.0039603557,0.003440429,419
Qwen_Qwen3-4B,4B,4.0,20,think_answer,punctuation,0.004275994,0.004009717,373
Qwen_Qwen3-4B,4B,4.0,20,think_answer,reasoning_discourse_marker,0.004841424,0.0045630103,211
Qwen_Qwen3-4B,4B,4.0,20,think_answer,short_function_word,0.0047512976,0.0043698596,369
Qwen_Qwen3-4B,4B,4.0,20,think_answer,special_delimiter,0.0076020854,0.006691777,58
Qwen_Qwen3-4B,4B,4.0,20,thinking,content_word,0.007417182,0.004129215,3504
Qwen_Qwen3-4B,4B,4.0,20,thinking,digits_math_symbols,0.0046676807,0.0033946272,4231
Qwen_Qwen3-4B,4B,4.0,20,thinking,newline_formatting,0.00626414,0.003675606,1275
Qwen_Qwen3-4B,4B,4.0,20,thinking,punctuation,0.0050806105,0.0043535987,189
Qwen_Qwen3-4B,4B,4.0,20,thinking,reasoning_discourse_marker,0.0052142967,0.00463883,337
Qwen_Qwen3-4B,4B,4.0,20,thinking,short_function_word,0.004779684,0.0041922526,3172
Qwen_Qwen3-4B,4B,4.0,20,thinking,special_delimiter,0.0076969527,0.0069873417,116
Qwen_Qwen3-8B,8B,8.0,6,no_think_answer,content_word,0.005949325,0.005351252,548
Qwen_Qwen3-8B,8B,8.0,6,no_think_answer,digits_math_symbols,0.0024788806,0.0021442524,828
Qwen_Qwen3-8B,8B,8.0,6,no_think_answer,newline_formatting,0.0013005745,0.0010796154,307
Qwen_Qwen3-8B,8B,8.0,6,no_think_answer,punctuation,0.0020866247,0.0016367887,323
Qwen_Qwen3-8B,8B,8.0,6,no_think_answer,reasoning_discourse_marker,0.006151281,0.0059989123,152
Qwen_Qwen3-8B,8B,8.0,6,no_think_answer,short_function_word,0.0036554383,0.00295575,356
Qwen_Qwen3-8B,8B,8.0,6,no_think_answer,special_delimiter,0.011777786,0.010089308,46
Qwen_Qwen3-8B,8B,8.0,6,think_answer,content_word,0.00594321,0.0053132637,462
Qwen_Qwen3-8B,8B,8.0,6,think_answer,digits_math_symbols,0.0022625055,0.0019154192,864
Qwen_Qwen3-8B,8B,8.0,6,think_answer,newline_formatting,0.0013733262,0.0011558484,341
Qwen_Qwen3-8B,8B,8.0,6,think_answer,punctuation,0.0021105579,0.0017147003,276
Qwen_Qwen3-8B,8B,8.0,6,think_answer,reasoning_discourse_marker,0.0059688147,0.0058098603,164
Qwen_Qwen3-8B,8B,8.0,6,think_answer,short_function_word,0.003609814,0.0030556722,290
Qwen_Qwen3-8B,8B,8.0,6,think_answer,special_delimiter,0.011594171,0.010238556,46
Qwen_Qwen3-8B,8B,8.0,6,thinking,content_word,0.006161136,0.001873218,2946
Qwen_Qwen3-8B,8B,8.0,6,thinking,digits_math_symbols,0.0016903981,0.0012428387,3691
Qwen_Qwen3-8B,8B,8.0,6,thinking,newline_formatting,0.0020492813,0.0014591019,1020
Qwen_Qwen3-8B,8B,8.0,6,thinking,punctuation,0.0034928296,0.0023305237,158
Qwen_Qwen3-8B,8B,8.0,6,thinking,reasoning_discourse_marker,0.0061692456,0.0025247394,311
Qwen_Qwen3-8B,8B,8.0,6,thinking,short_function_word,0.0044818185,0.0019292112,2654
Qwen_Qwen3-8B,8B,8.0,6,thinking,special_delimiter,0.029892039,0.027229363,92
Qwen_Qwen3-8B,8B,8.0,13,no_think_answer,content_word,0.003639748,0.0033476194,548
Qwen_Qwen3-8B,8B,8.0,13,no_think_answer,digits_math_symbols,0.0026512148,0.0024043745,828
Qwen_Qwen3-8B,8B,8.0,13,no_think_answer,newline_formatting,0.0016660932,0.0016615296,307
Qwen_Qwen3-8B,8B,8.0,13,no_think_answer,punctuation,0.002541407,0.0021462326,323
Qwen_Qwen3-8B,8B,8.0,13,no_think_answer,reasoning_discourse_marker,0.0037044939,0.0035177139,152
Qwen_Qwen3-8B,8B,8.0,13,no_think_answer,short_function_word,0.0032204064,0.0030569509,356
Qwen_Qwen3-8B,8B,8.0,13,no_think_answer,special_delimiter,0.006777004,0.006578991,46
Qwen_Qwen3-8B,8B,8.0,13,think_answer,content_word,0.0039022276,0.003697533,462
Qwen_Qwen3-8B,8B,8.0,13,think_answer,digits_math_symbols,0.0023511702,0.00206553,864
Qwen_Qwen3-8B,8B,8.0,13,think_answer,newline_formatting,0.0017004474,0.0016824376,341
Qwen_Qwen3-8B,8B,8.0,13,think_answer,punctuation,0.0027169173,0.0023123818,276
Qwen_Qwen3-8B,8B,8.0,13,think_answer,reasoning_discourse_marker,0.0039148666,0.0037649614,164
Qwen_Qwen3-8B,8B,8.0,13,think_answer,short_function_word,0.0035728628,0.0033213915,290
Qwen_Qwen3-8B,8B,8.0,13,think_answer,special_delimiter,0.00515847,0.0050532473,46
Qwen_Qwen3-8B,8B,8.0,13,thinking,content_word,0.0034066655,0.0023722243,2946
Qwen_Qwen3-8B,8B,8.0,13,thinking,digits_math_symbols,0.0021958286,0.001845389,3691
Qwen_Qwen3-8B,8B,8.0,13,thinking,newline_formatting,0.0024094163,0.0019005362,1020
Qwen_Qwen3-8B,8B,8.0,13,thinking,punctuation,0.003205758,0.0025880337,158
Qwen_Qwen3-8B,8B,8.0,13,thinking,reasoning_discourse_marker,0.0038781124,0.0028612039,311
Qwen_Qwen3-8B,8B,8.0,13,thinking,short_function_word,0.003338804,0.0024141364,2654
Qwen_Qwen3-8B,8B,8.0,13,thinking,special_delimiter,0.013599071,0.011272293,92
Qwen_Qwen3-8B,8B,8.0,20,no_think_answer,content_word,0.0029846742,0.002723655,548
Qwen_Qwen3-8B,8B,8.0,20,no_think_answer,digits_math_symbols,0.0028302222,0.0026536677,828
Qwen_Qwen3-8B,8B,8.0,20,no_think_answer,newline_formatting,0.0024828347,0.0023711368,307
Qwen_Qwen3-8B,8B,8.0,20,no_think_answer,punctuation,0.0027971324,0.00246633,323
Qwen_Qwen3-8B,8B,8.0,20,no_think_answer,reasoning_discourse_marker,0.0026351179,0.0024473215,152
Qwen_Qwen3-8B,8B,8.0,20,no_think_answer,short_function_word,0.002951875,0.0027541863,356
Qwen_Qwen3-8B,8B,8.0,20,no_think_answer,special_delimiter,0.00876267,0.008134965,46
Qwen_Qwen3-8B,8B,8.0,20,think_answer,content_word,0.0028567477,0.002662775,462
Qwen_Qwen3-8B,8B,8.0,20,think_answer,digits_math_symbols,0.0025975036,0.0023561958,864
Qwen_Qwen3-8B,8B,8.0,20,think_answer,newline_formatting,0.0025179153,0.002279585,341
Qwen_Qwen3-8B,8B,8.0,20,think_answer,punctuation,0.0027859563,0.0027242298,276
Qwen_Qwen3-8B,8B,8.0,20,think_answer,reasoning_discourse_marker,0.0026372634,0.0026105288,164
Qwen_Qwen3-8B,8B,8.0,20,think_answer,short_function_word,0.002931821,0.0027538543,290
Qwen_Qwen3-8B,8B,8.0,20,think_answer,special_delimiter,0.005862234,0.005395402,46
Qwen_Qwen3-8B,8B,8.0,20,thinking,content_word,0.0029933557,0.0026830398,2946
Qwen_Qwen3-8B,8B,8.0,20,thinking,digits_math_symbols,0.005340618,0.0022472872,3691
Qwen_Qwen3-8B,8B,8.0,20,thinking,newline_formatting,0.010809846,0.0024612318,1020
Qwen_Qwen3-8B,8B,8.0,20,thinking,punctuation,0.0029978938,0.0027220957,158
Qwen_Qwen3-8B,8B,8.0,20,thinking,reasoning_discourse_marker,0.003052182,0.0026899544,311
Qwen_Qwen3-8B,8B,8.0,20,thinking,short_function_word,0.0030362622,0.0026695714,2654
Qwen_Qwen3-8B,8B,8.0,20,thinking,special_delimiter,0.011022411,0.009674645,92
Qwen_Qwen3-14B,14B,14.0,6,no_think_answer,content_word,0.0059508393,0.005052424,565
Qwen_Qwen3-14B,14B,14.0,6,no_think_answer,digits_math_symbols,0.001831498,0.0016202101,1097
Qwen_Qwen3-14B,14B,14.0,6,no_think_answer,newline_formatting,0.0011264991,0.0010623214,396
Qwen_Qwen3-14B,14B,14.0,6,no_think_answer,punctuation,0.0017638841,0.0014762911,321
Qwen_Qwen3-14B,14B,14.0,6,no_think_answer,reasoning_discourse_marker,0.0052408185,0.004736702,194
Qwen_Qwen3-14B,14B,14.0,6,no_think_answer,short_function_word,0.004108631,0.0034668013,392
Qwen_Qwen3-14B,14B,14.0,6,no_think_answer,special_delimiter,0.008816183,0.007987956,55
Qwen_Qwen3-14B,14B,14.0,6,think_answer,content_word,0.006453498,0.0054511786,536
Qwen_Qwen3-14B,14B,14.0,6,think_answer,digits_math_symbols,0.0018311531,0.0015301838,1183
Qwen_Qwen3-14B,14B,14.0,6,think_answer,newline_formatting,0.0014929498,0.0010015942,460
Qwen_Qwen3-14B,14B,14.0,6,think_answer,punctuation,0.0018668022,0.0015047172,348
Qwen_Qwen3-14B,14B,14.0,6,think_answer,reasoning_discourse_marker,0.006253389,0.0056854906,201
Qwen_Qwen3-14B,14B,14.0,6,think_answer,short_function_word,0.004439644,0.0035989876,294
Qwen_Qwen3-14B,14B,14.0,6,think_answer,special_delimiter,0.011472153,0.0101011135,55
Qwen_Qwen3-14B,14B,14.0,6,thinking,content_word,0.005941948,0.0018073174,3290
Qwen_Qwen3-14B,14B,14.0,6,thinking,digits_math_symbols,0.0012772685,0.001026406,4453
Qwen_Qwen3-14B,14B,14.0,6,thinking,newline_formatting,0.001652199,0.0012361768,1294
Qwen_Qwen3-14B,14B,14.0,6,thinking,punctuation,0.0032386912,0.001973297,202
Qwen_Qwen3-14B,14B,14.0,6,thinking,reasoning_discourse_marker,0.0051830024,0.0026003693,350
Qwen_Qwen3-14B,14B,14.0,6,thinking,short_function_word,0.0043903445,0.0016687873,2959
Qwen_Qwen3-14B,14B,14.0,6,thinking,special_delimiter,0.01738599,0.015205445,110
Qwen_Qwen3-14B,14B,14.0,13,no_think_answer,content_word,0.0031670912,0.0028821458,565
Qwen_Qwen3-14B,14B,14.0,13,no_think_answer,digits_math_symbols,0.0019584359,0.0017876502,1097
Qwen_Qwen3-14B,14B,14.0,13,no_think_answer,newline_formatting,0.0013064779,0.0012713722,396
Qwen_Qwen3-14B,14B,14.0,13,no_think_answer,punctuation,0.0020411406,0.0015842924,321
Qwen_Qwen3-14B,14B,14.0,13,no_think_answer,reasoning_discourse_marker,0.0032275328,0.0031070672,194
Qwen_Qwen3-14B,14B,14.0,13,no_think_answer,short_function_word,0.0027708858,0.002492176,392
Qwen_Qwen3-14B,14B,14.0,13,no_think_answer,special_delimiter,0.0036580632,0.0035683946,55
Qwen_Qwen3-14B,14B,14.0,13,think_answer,content_word,0.003684731,0.0032895731,536
Qwen_Qwen3-14B,14B,14.0,13,think_answer,digits_math_symbols,0.0019044046,0.0017454574,1183
Qwen_Qwen3-14B,14B,14.0,13,think_answer,newline_formatting,0.0013731952,0.0011752377,460
Qwen_Qwen3-14B,14B,14.0,13,think_answer,punctuation,0.0022014386,0.0018917758,348
Qwen_Qwen3-14B,14B,14.0,13,think_answer,reasoning_discourse_marker,0.0037537892,0.0034893,201
Qwen_Qwen3-14B,14B,14.0,13,think_answer,short_function_word,0.0031352171,0.0027561863,294
Qwen_Qwen3-14B,14B,14.0,13,think_answer,special_delimiter,0.0039060847,0.0037519704,55
Qwen_Qwen3-14B,14B,14.0,13,thinking,content_word,0.0031745178,0.0021893578,3290
Qwen_Qwen3-14B,14B,14.0,13,thinking,digits_math_symbols,0.0018006131,0.0014797872,4453
Qwen_Qwen3-14B,14B,14.0,13,thinking,newline_formatting,0.0018528665,0.0015595946,1294
Qwen_Qwen3-14B,14B,14.0,13,thinking,punctuation,0.0029871594,0.0023841208,202
Qwen_Qwen3-14B,14B,14.0,13,thinking,reasoning_discourse_marker,0.0034655472,0.0028698964,350
Qwen_Qwen3-14B,14B,14.0,13,thinking,short_function_word,0.0031627463,0.002281012,2959
Qwen_Qwen3-14B,14B,14.0,13,thinking,special_delimiter,0.009009409,0.008261202,110
Qwen_Qwen3-14B,14B,14.0,20,no_think_answer,content_word,0.0028668158,0.0026219366,565
Qwen_Qwen3-14B,14B,14.0,20,no_think_answer,digits_math_symbols,0.002248292,0.0020782773,1097
Qwen_Qwen3-14B,14B,14.0,20,no_think_answer,newline_formatting,0.0014992611,0.0014637159,396
Qwen_Qwen3-14B,14B,14.0,20,no_think_answer,punctuation,0.0023077896,0.0019249376,321
Qwen_Qwen3-14B,14B,14.0,20,no_think_answer,reasoning_discourse_marker,0.0029185687,0.002668384,194
Qwen_Qwen3-14B,14B,14.0,20,no_think_answer,short_function_word,0.002902471,0.002658259,392
Qwen_Qwen3-14B,14B,14.0,20,no_think_answer,special_delimiter,0.0037605749,0.0035183788,55
Qwen_Qwen3-14B,14B,14.0,20,think_answer,content_word,0.0028538844,0.0026272577,536
Qwen_Qwen3-14B,14B,14.0,20,think_answer,digits_math_symbols,0.0021148128,0.001931442,1183
Qwen_Qwen3-14B,14B,14.0,20,think_answer,newline_formatting,0.0016203477,0.001471532,460
Qwen_Qwen3-14B,14B,14.0,20,think_answer,punctuation,0.002473985,0.0021405225,348
Qwen_Qwen3-14B,14B,14.0,20,think_answer,reasoning_discourse_marker,0.0030825213,0.0028311985,201
Qwen_Qwen3-14B,14B,14.0,20,think_answer,short_function_word,0.003021513,0.0028311592,294
Qwen_Qwen3-14B,14B,14.0,20,think_answer,special_delimiter,0.0039311373,0.0038043554,55
Qwen_Qwen3-14B,14B,14.0,20,thinking,content_word,0.0028815845,0.0024736403,3290
Qwen_Qwen3-14B,14B,14.0,20,thinking,digits_math_symbols,0.0021014216,0.0018771101,4453
Qwen_Qwen3-14B,14B,14.0,20,thinking,newline_formatting,0.0021051504,0.0018282,1294
Qwen_Qwen3-14B,14B,14.0,20,thinking,punctuation,0.0030675004,0.0025094415,202
Qwen_Qwen3-14B,14B,14.0,20,thinking,reasoning_discourse_marker,0.0030577905,0.0026750546,350
Qwen_Qwen3-14B,14B,14.0,20,thinking,short_function_word,0.0029407577,0.0024917624,2959
Qwen_Qwen3-14B,14B,14.0,20,thinking,special_delimiter,0.005863172,0.005503741,110
Qwen_Qwen3-32B,32B,32.0,6,no_think_answer,content_word,0.004933849,0.004385433,565
Qwen_Qwen3-32B,32B,32.0,6,no_think_answer,digits_math_symbols,0.0018903016,0.0016551024,897
Qwen_Qwen3-32B,32B,32.0,6,no_think_answer,newline_formatting,0.0010077216,0.0007904155,349
Qwen_Qwen3-32B,32B,32.0,6,no_think_answer,punctuation,0.0018138379,0.0015068495,320
Qwen_Qwen3-32B,32B,32.0,6,no_think_answer,reasoning_discourse_marker,0.0050435667,0.005163236,193
Qwen_Qwen3-32B,32B,32.0,6,no_think_answer,short_function_word,0.0030479669,0.0021753372,382
Qwen_Qwen3-32B,32B,32.0,6,no_think_answer,special_delimiter,0.006220658,0.0059138094,54
Qwen_Qwen3-32B,32B,32.0,6,think_answer,content_word,0.00536503,0.004642628,505
Qwen_Qwen3-32B,32B,32.0,6,think_answer,digits_math_symbols,0.0018965404,0.0015599551,1004
Qwen_Qwen3-32B,32B,32.0,6,think_answer,newline_formatting,0.0012209732,0.00082210393,428
Qwen_Qwen3-32B,32B,32.0,6,think_answer,punctuation,0.0018415457,0.0015600992,308
Qwen_Qwen3-32B,32B,32.0,6,think_answer,reasoning_discourse_marker,0.0066139703,0.006248727,193
Qwen_Qwen3-32B,32B,32.0,6,think_answer,short_function_word,0.0039115604,0.0027671924,341
Qwen_Qwen3-32B,32B,32.0,6,think_answer,special_delimiter,0.005769005,0.0055472897,54
Qwen_Qwen3-32B,32B,32.0,6,thinking,content_word,0.0066744294,0.001816695,3332
Qwen_Qwen3-32B,32B,32.0,6,thinking,digits_math_symbols,0.001110323,0.00084144145,4090
