example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_001247,245,3,3,3,,True
gsm8k_test_001251,3,0,3,3,too_short,False
gsm8k_test_001253,149,3,3,3,,True
gsm8k_test_001255,3,0,3,3,too_short,False
gsm8k_test_001263,3,0,3,3,too_short,False
gsm8k_test_001271,3,0,3,3,too_short,False
gsm8k_test_001275,278,3,3,3,,True
gsm8k_test_001289,3,0,3,3,too_short,False
gsm8k_test_001291,3,0,3,3,too_short,False
gsm8k_test_001307,217,3,3,3,,True
gsm8k_test_001311,3,0,3,3,too_short,False
gsm8k_test_001313,3,0,3,3,too_short,False
gsm8k_test_001317,3,0,3,3,too_short,False
