example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_000697,208,3,3,3,,True
gsm8k_test_000713,229,3,3,3,,True
gsm8k_test_000740,320,3,3,3,,True
gsm8k_test_000759,276,3,3,3,,True
gsm8k_test_000760,237,3,3,3,,True
gsm8k_test_000767,279,3,3,3,,True
gsm8k_test_000775,154,3,3,3,,True
gsm8k_test_000776,218,3,3,3,,True
gsm8k_test_000781,226,3,3,3,,True
gsm8k_test_000782,241,3,3,3,,True
gsm8k_test_000795,132,3,3,3,,True
gsm8k_test_000814,514,3,3,3,,True
gsm8k_test_000828,139,3,3,3,,True
gsm8k_test_000829,264,3,3,3,,True
gsm8k_test_000830,514,3,3,3,,True
gsm8k_test_000848,267,3,3,3,,True
gsm8k_test_000852,514,3,3,3,,True
gsm8k_test_000871,266,3,3,3,,True
gsm8k_test_000875,209,3,3,3,,True
gsm8k_test_000891,514,3,3,3,,True
gsm8k_test_000896,238,3,3,3,,True
gsm8k_test_000900,244,3,3,3,,True
gsm8k_test_000901,514,3,3,3,,True
gsm8k_test_000911,158,3,3,3,,True
gsm8k_test_000913,266,3,3,3,,True
gsm8k_test_000914,249,3,3,3,,True
gsm8k_test_000915,157,3,3,3,,True
gsm8k_test_000917,156,3,3,3,,True
gsm8k_test_000921,177,3,3,3,,True
gsm8k_test_000923,302,3,3,3,,True
gsm8k_test_000924,453,3,3,3,,True
gsm8k_test_000930,322,3,3,3,,True
gsm8k_test_000948,256,3,3,3,,True
gsm8k_test_000956,106,3,3,3,,True
gsm8k_test_000960,514,3,3,3,,True
gsm8k_test_000965,357,3,3,3,,True
gsm8k_test_000977,166,3,3,3,,True
gsm8k_test_000988,238,3,3,3,,True
gsm8k_test_000990,253,3,3,3,,True
gsm8k_test_000995,116,3,3,3,,True
gsm8k_test_001002,173,3,3,3,,True
gsm8k_test_001006,339,3,3,3,,True
gsm8k_test_001008,240,3,3,3,,True
gsm8k_test_001009,251,3,3,3,,True
gsm8k_test_001013,224,3,3,3,,True
gsm8k_test_001017,138,3,3,3,,True
gsm8k_test_001026,272,3,3,3,,True
gsm8k_test_001031,292,3,3,3,,True
gsm8k_test_001038,488,3,3,3,,True
gsm8k_test_001043,312,3,3,3,,True
gsm8k_test_001047,273,3,3,3,,True
gsm8k_test_001052,336,3,3,3,,True
gsm8k_test_001058,206,3,3,3,,True
gsm8k_test_001059,514,3,3,3,,True
gsm8k_test_001079,306,3,3,3,,True
gsm8k_test_001082,514,3,3,3,,True
gsm8k_test_001088,514,3,3,3,,True
gsm8k_test_001090,362,3,3,3,,True
gsm8k_test_001094,338,3,3,3,,True
gsm8k_test_001096,393,3,3,3,,True
gsm8k_test_001098,263,3,3,3,,True
gsm8k_test_001106,134,3,3,3,,True
gsm8k_test_001108,137,3,3,3,,True
gsm8k_test_001123,277,3,3,3,,True
gsm8k_test_001136,226,3,3,3,,True
gsm8k_test_001144,238,3,3,3,,True
gsm8k_test_001145,514,3,3,3,,True
gsm8k_test_001161,514,3,3,3,,True
gsm8k_test_001164,296,3,3,3,,True
gsm8k_test_001165,514,3,3,3,,True
gsm8k_test_001178,148,3,3,3,,True
gsm8k_test_001181,497,3,3,3,,True
gsm8k_test_001182,431,3,3,3,,True
gsm8k_test_001183,514,3,3,3,,True
gsm8k_test_001186,318,3,3,3,,True
gsm8k_test_001188,514,3,3,3,,True
gsm8k_test_001191,198,3,3,3,,True
gsm8k_test_001201,298,3,3,3,,True
gsm8k_test_001208,281,3,3,3,,True
gsm8k_test_001209,252,3,3,3,,True
gsm8k_test_001221,112,3,3,3,,True
gsm8k_test_001225,216,3,3,3,,True
gsm8k_test_001232,208,3,3,3,,True
gsm8k_test_001246,302,3,3,3,,True
gsm8k_test_001247,314,3,3,3,,True
gsm8k_test_001251,514,3,3,3,,True
gsm8k_test_001253,232,3,3,3,,True
gsm8k_test_001255,202,3,3,3,,True
gsm8k_test_001263,425,3,3,3,,True
gsm8k_test_001271,215,3,3,3,,True
gsm8k_test_001275,291,3,3,3,,True
gsm8k_test_001289,232,3,3,3,,True
gsm8k_test_001291,173,3,3,3,,True
gsm8k_test_001307,170,3,3,3,,True
gsm8k_test_001311,202,3,3,3,,True
gsm8k_test_001313,331,3,3,3,,True
gsm8k_test_001317,333,3,3,3,,True
