example_id,thinking_token_count,valid_layers,observed_layers,expected_layers,invalid_reasons,keep
gsm8k_test_001255,3,0,3,3,too_short,False
gsm8k_test_001263,514,3,3,3,,True
gsm8k_test_001271,423,3,3,3,,True
gsm8k_test_001275,3,0,3,3,too_short,False
gsm8k_test_001289,3,0,3,3,too_short,False
gsm8k_test_001291,3,0,3,3,too_short,False
gsm8k_test_001307,232,3,3,3,,True
gsm8k_test_001311,3,0,3,3,too_short,False
gsm8k_test_001313,3,0,3,3,too_short,False
gsm8k_test_001317,260,3,3,3,,True
